label,text,words
1,drumline ably captures the complicated relationships in a marching band . ,11
1,delivers roughly equal amounts of beautiful movement and inside information . ,11
1,saved from being merely way-cool by a basic  credible compassion . ,11
1,this is a movie full of grace and  ultimately  hope . ,11
1,the imax screen enhances the personal touch of manual animation . ,11
0,a retread of material already thoroughly plumbed by martin scorsese . ,11
0,it almost plays like solaris  but with guns and jokes . ,11
0,it would work much better as a one-hour tv documentary . ,11
1,makes an aborbing if arguable case for the man's greatness . ,11
1,manages to be wholesome and subversive at the same time . ,11
0,sad nonsense  this . but not without cheesy fun factor . ,11
0,it is bad  but certainly not without merit as entertainment . ,11
1,fans of nijinsky will savor every minute of cox's work . ,11
0,starts promisingly but disintegrates into a dreary  humorless soap opera . ,11
0,de niro cries . you'll cry for your money back . ,11
1,very psychoanalytical -- provocatively so -- and also refreshingly literary . ,11
0,friday after next is a lot more bluster than bite . ,11
0,forget the misleading title  what's with the unexplained baboon cameo ? ,11
0,dodgy mixture of cutesy romance  dark satire and murder mystery . ,11
1,the first bond movie in ages that isn't fake fun . ,11
1,wow  so who knew charles dickens could be so light-hearted ? ,11
0,an unsophisticated sci-fi drama that takes itself all too seriously . ,11
0,how this one escaped the lifetime network i'll never know . ,11
0,the script is high on squaddie banter  low on shocks . ,11
1,this is a very fine movie -- go see it . ,11
0,please  someone  stop eric schaeffer before he makes another film . ,11
0,it's as if allen  at 66  has stopped challenging himself . ,11
1,offers a breath of the fresh air of true sophistication . ,11
0,tsai may be ploughing the same furrow once too often . ,11
1,the scorpion king is more fun than conan the barbarian . ,11
0,cry havoc and let slip the dogs of cheese  indeed . ,11
1,arguably the best script that besson has written in years . ,11
1,windtalkers celebrates the human spirit and packs an emotional wallop . ,11
1,the film is a very good viewing alternative for young women . ,12
1,a deviant topical comedy which is funny from start to finish . ,12
0,'dragonfly' dwells on crossing-over mumbo jumbo  manipulative sentimentality  and sappy dialogue . ,12
0,the film  like jimmy's routines  could use a few good laughs . ,12
0, . . . the movie is just a plain old monster . ,12
1,a subtle  humorous  illuminating study of politics  power and social mobility . ,12
